condition	sample
	-1
	-2
	-3
L5_PT_VISp_C1ql2_Ptgfr	L5_PT_VISp_C1ql2_Ptgfr-1
L5_PT_VISp_C1ql2_Ptgfr	L5_PT_VISp_C1ql2_Ptgfr-2
L5_PT_VISp_C1ql2_Ptgfr	L5_PT_VISp_C1ql2_Ptgfr-3
Sst_Nts	Sst_Nts-1
Sst_Nts	Sst_Nts-2
Sst_Nts	Sst_Nts-3
Sst_Chrna2_Ptgdr	Sst_Chrna2_Ptgdr-1
Sst_Chrna2_Ptgdr	Sst_Chrna2_Ptgdr-2
Sst_Chrna2_Ptgdr	Sst_Chrna2_Ptgdr-3
Pvalb_Reln_Itm2a	Pvalb_Reln_Itm2a-1
Pvalb_Reln_Itm2a	Pvalb_Reln_Itm2a-2
Pvalb_Reln_Itm2a	Pvalb_Reln_Itm2a-3
Vip_Igfbp4_Mab21l1	Vip_Igfbp4_Mab21l1-1
Vip_Igfbp4_Mab21l1	Vip_Igfbp4_Mab21l1-2
Vip_Igfbp4_Mab21l1	Vip_Igfbp4_Mab21l1-3
Sst_Esm1	Sst_Esm1-1
Sst_Esm1	Sst_Esm1-2
Sst_Esm1	Sst_Esm1-3
L4_IT_VISp_Rspo1	L4_IT_VISp_Rspo1-1
L4_IT_VISp_Rspo1	L4_IT_VISp_Rspo1-2
L4_IT_VISp_Rspo1	L4_IT_VISp_Rspo1-3
Vip_Gpc3_Slc18a3	Vip_Gpc3_Slc18a3-1
Vip_Gpc3_Slc18a3	Vip_Gpc3_Slc18a3-2
Vip_Gpc3_Slc18a3	Vip_Gpc3_Slc18a3-3
Lamp5_Ntn1_Npy2r	Lamp5_Ntn1_Npy2r-1
Lamp5_Ntn1_Npy2r	Lamp5_Ntn1_Npy2r-2
Lamp5_Ntn1_Npy2r	Lamp5_Ntn1_Npy2r-3
L6_NP_ALM_Trh	L6_NP_ALM_Trh-1
L6_NP_ALM_Trh	L6_NP_ALM_Trh-2
L6_NP_ALM_Trh	L6_NP_ALM_Trh-3
Sst_Mme_Fam114a1	Sst_Mme_Fam114a1-1
Sst_Mme_Fam114a1	Sst_Mme_Fam114a1-2
Sst_Mme_Fam114a1	Sst_Mme_Fam114a1-3
Pvalb_Vipr2	Pvalb_Vipr2-1
Pvalb_Vipr2	Pvalb_Vipr2-2
Pvalb_Vipr2	Pvalb_Vipr2-3
Vip_Rspo1_Itga4	Vip_Rspo1_Itga4-1
Vip_Rspo1_Itga4	Vip_Rspo1_Itga4-2
Vip_Rspo1_Itga4	Vip_Rspo1_Itga4-3
Sst_Calb2_Necab1	Sst_Calb2_Necab1-1
Sst_Calb2_Necab1	Sst_Calb2_Necab1-2
Sst_Calb2_Necab1	Sst_Calb2_Necab1-3
L2_3_IT_VISp_Agmat	L2_3_IT_VISp_Agmat-1
L2_3_IT_VISp_Agmat	L2_3_IT_VISp_Agmat-2
L2_3_IT_VISp_Agmat	L2_3_IT_VISp_Agmat-3
Vip_Lect1_Oxtr	Vip_Lect1_Oxtr-1
Vip_Lect1_Oxtr	Vip_Lect1_Oxtr-2
Vip_Lect1_Oxtr	Vip_Lect1_Oxtr-3
Pvalb_Tpbg	Pvalb_Tpbg-1
Pvalb_Tpbg	Pvalb_Tpbg-2
Pvalb_Tpbg	Pvalb_Tpbg-3
Pvalb_Sema3e_Kank4	Pvalb_Sema3e_Kank4-1
Pvalb_Sema3e_Kank4	Pvalb_Sema3e_Kank4-2
Pvalb_Sema3e_Kank4	Pvalb_Sema3e_Kank4-3
Sncg_Slc17a8	Sncg_Slc17a8-1
